estado,ano,turno,situacao,quantidade,proporcao,uf
Mato Grosso,1998,1,DEMAIS,1076694,0.7100090936007823,MT
Mato Grosso do Sul,1989,1,ABSTENÇÃO,138741,0.13843201973195826,MS
Mato Grosso do Sul,1989,1,DEMAIS,863491,0.8615679802680417,MS
Mato Grosso do Sul,1989,2,ABSTENÇÃO,138741,0.13843201973195826,MS
Mato Grosso do Sul,1989,2,DEMAIS,863491,0.8615679802680417,MS
Mato Grosso do Sul,1994,1,ABSTENÇÃO,213895,0.1842248508682628,MS
Mato Grosso do Sul,1994,1,DEMAIS,947159,0.8157751491317372,MS
Mato Grosso do Sul,2002,1,ABSTENÇÃO,254257,0.18009765025963806,MS
Mato Grosso do Sul,2002,1,DEMAIS,1157516,0.8199023497403619,MS
Mato Grosso do Sul,2002,2,ABSTENÇÃO,292628,0.20727694891459178,MS
Mato Grosso do Sul,2002,2,DEMAIS,1119145,0.7927230510854082,MS
Mato Grosso do Sul,2006,1,ABSTENÇÃO,272233,0.0871881607577853,MS
Mato Grosso do Sul,2006,1,DEMAIS,2850129,0.9128118392422148,MS
Mato Grosso do Sul,2006,2,ABSTENÇÃO,335791,0.107543904262222,MS
Mato Grosso do Sul,2006,2,DEMAIS,2786571,0.892456095737778,MS
Mato Grosso do Sul,2010,1,ABSTENÇÃO,308448,0.18134271496702944,MS
Mato Grosso do Sul,2010,1,DEMAIS,1392464,0.8186572850329705,MS
Mato Grosso do Sul,2010,2,ABSTENÇÃO,410546,0.2413586528699061,MS
Mato Grosso do Sul,2010,2,DEMAIS,1290433,0.7586413471300939,MS
Mato Grosso do Sul,2014,1,ABSTENÇÃO,373191,0.2053308068011693,MS
Mato Grosso do Sul,2014,1,DEMAIS,1444320,0.7946691931988307,MS
Mato Grosso do Sul,2014,2,ABSTENÇÃO,420367,0.23128260232060024,MS
Mato Grosso do Sul,2014,2,DEMAIS,1397180,0.7687173976793997,MS
Mato Grosso do Sul,1998,1,ABSTENÇÃO,259790,0.206689914210041,MS
Mato Grosso do Sul,1998,1,DEMAIS,997117,0.793310085789959,MS
Minas Gerais,1989,1,ABSTENÇÃO,1033718,0.10958408913800687,MG
